# Ideographic Description Sequences (IDS) for BabelStone Han PUA
# URL: https://babelstone.co.uk/CJK/IDS_PUA.TXT
# Font: https://www.babelstone.co.uk/Fonts/PUA.html
# Version 1.292 (2021-03-16)
#
U+E080		^⿰斑鳥$
U+E081		^⿰氵戀$
U+E082		^⿰胃鳥$
U+E083		^⿰山長$
U+E084		^⿰土鳬$
U+E085		^⿰土貫$
U+E086		^⿰土晉$
U+E087		^⿰馬祭$
U+E088		^⿱雨召$
U+E089		^⿰氵敗$
U+E08A		^⿰口熱$
U+E08B		^⿱斬酉$
U+E08C		^⿰火篷$
U+E08D		^⿱𥫗卡$
U+E08E		^⿰饣鬼$
U+E08F		^⿰饣畾$
U+E090		^⿰虫丝$
U+E091		^⿰匠鸟$
U+E092		^⿰女啟$
U+E093		^⿰齿蚩$
U+E094		^⿰扌刋$
U+E095		^⿱雨见$
U+E096		^⿱辟虫$
U+E097		^⿱艹务$
U+E098		^⿰扌家$
U+E099		^⿱艹孢$
U+E09A		^⿰舌罗$
U+E09B		^⿰饣遣$
U+E09C		^⿰黍连$
U+E09D		^⿱文赤$
U+E09E		^⿰女畝$
U+E09F		^⿴囗其$
U+E0A0		^⿰饣殳$
U+E0A1		^⿰虫应$
U+E0A2		^⿰牙肯$
U+E0A3		^⿰虫钳$
U+E0A4		^⿰火聂$
U+E0A5		^⿱斩酉$
U+E0A6		^⿰米雚$
U+E0A7		^⿰忄费$
U+E0A8		^⿰前刂$
U+E0A9		^⿰女举$
U+E0AA		^⿰目利$
U+E0AB		^⿸疒秀$
U+E0AC		^⿰米亡$
U+E0AD		^⿴囗土$
U+E0AE		^⿰饣肖$
U+E0AF		^⿸疒阴$
U+E0B0		^⿺辶喿$
U+E0B1		^⿰饣荅$
U+E0B2		^⿰革虒$
U+E0B3		^⿰土忍$
U+E0B4		^⿰羊罗$
U+E0B5		^⿰饣宋$
U+E0B6		^⿰禾然$
U+E0B7		^⿰日皮$
U+E0B8		^⿰車自$
U+E0B9		^⿱芀虫$
U+E0BA		^⿰口随$
U+E0BB		^⿰巾兜$
U+E0BC		^⿰扌见$
U+E0BD		^⿰月当$
U+E0BE		^⿰扌间$
U+E0BF		^⿰黑毛$
U+E0C0		^⿰口哿$
U+E0C1		^⿰口圖$
U+E0C2		
U+E0C3		^⿰口屠$
U+E0C4		^⿰口思$
U+E0C5		^⿰口怡$
U+E0C6		^⿰口恰$
U+E0C7		^⿰口推$
U+E0C8		^⿰口擔$
U+E0C9		^⿰口昧$
U+E0CA		^⿰口瓮$
U+E0CB		^⿰口祈$
U+E0CC		^⿰口穆$
U+E0CD		^⿰口粹$
U+E0CE		^⿰口菩$
U+E0CF		^⿰口蘓$
U+E0D0		^⿰口䕶$
U+E0D1		^⿰口賔$
U+E0D2		^⿰口鴉$
U+E0D3		^⿰口𡸁$
U+E0D4		^⿰口𤚥$
U+E0D5		^⿰口𦔻$
U+E0D6		^⿰口⿰⿱厶羊昌$
U+E0D7		^⿰口⿵冂力$
U+E0D8		^⿰口⿻丅口$
U+E0D9		^⿲口訁⿵冂？$
U+E0DA		^⿵冂力$
U+E0DB		^⿰⿱厶羊昌$
U+E0DC		^⿰火⿱夭角$
U+E0DD		^⿰訁⿵冂𠃌$
U+E0DE		^⿱記耳$
U+E0DF		^⿸广隂$
U+E0E0		^⿺鬼咢$
U+E0E1		^⿺鬼索$
U+E0E2		^⿱雨⿰弓⿺乚攵$
U+E0E3		^⿱雨⿰弜戈$
U+E0E4		^⿱雨⿰？⿺几彡$
U+E0E5		^⿱雨⿺⿱甶儿⿰三三$
U+E0E6		^⿳雨⿰訁⿵冂𠃌玉$
U+E0E7		^⿱雨我$
U+E0E8		^⿱雨焱$
U+E0E9		^⿱雨鐄$
U+E0EA		^⿱雨𡅗$
U+E0EB		^⿱雨聻$
U+E0EC		^⿱雨桓$
U+E0ED		^⿰口謨$
U+E0EE		^⿰口电$
U+E0EF		^⿰月仑$
U+E0F0		^⿰禾尧$
U+E0F1		^⿱从土$
U+E0F2		^⿰口頭$
U+E0F3		^⿰口俱$
U+E0F4		^⿰口没$
U+E0F5		^⿰𤣩日$
U+E0F6		^⿰⿱日月多$
U+E0F7		^⿹气泴$
U+E0F8		^⿰饣穸$
U+E0F9		^⿰虫丽$
U+E0FA		^⿰月堇$
U+E0FB		^⿰火丘$
U+E0FC		^⿸尸弗$
U+E0FD		^⿰虫米$
U+E0FE		^⿰火窄$
U+E0FF		^⿱巴⿰巴巴$
U+E100		^⿰山岂$
U+E101		^⿱㐅収$
U+E102		^⿰𧾷卬$
U+E103		^⿱艹妑$
U+E104		^⿱㞢目$
U+E105		^⿱⿻㇇丶朩$
U+E106		^⿳爫串又$
U+E107		^⿳日共米$
