# Ideographic Description Sequences (IDS) for Tangut Ideographs
# URL: http://babelstone.co.uk/Tangut/TangutIDS.TXT
# Date: 2018-01-08
# Unicode Version: 10.0 (6,125 entries)
#
# Notes
# 1. This file is compiled by Andrew West. It is not copyrighted, and may be used freely for any purpose without asking permission.
#
# 2. This version of the file provides IDS sequences for the 6,125 Tangut ideographs defined in Unicode version 10.0 (released June 2017). The Tangut characters are best viewed using the latest version of the Tangut Yinchuan font, which may be downloaded for free from http://www.babelstone.co.uk/Fonts/Yinchuan.html.
#
# 3. IDS sequences start with ^ and end with $. Some characters have more than one tab-separated IDS sequence, corresponding to variant forms of the character. The first IDS sequence corresponds to the Unicode code chart form of the character; subsequent IDS sequences correspond to glyph forms that are candidates for definition as Ideographic Variation Sequences (IVS).
#
# 4. Corrections to the glyph form shown in the current Unicode code chart are marked with an asterisk (*). Note that the corrected IDS sequences for the following Tangut ideographs are not reflected in the latest release version of the Tangut Yinchuan font: 1732C, 173C6, 1814A, 182E6.
#
# 5. The following Tangut components have a corrected glyph structure that is not reflected in the current version of the Unicode code chart:
#	18A28 𘨨 = ⿱𘡎𘢏
#	18A8A 𘪊 = ⿱𘠛𘤬
#	18AAF 𘪯 = ⿱𘢿𘡪
#	18ADF 𘫟 = ⿱𘤬𘣗
#
# 6. IDS sequences on this page use only the following characters:
#	Ideographic Description Characters
#	Tangut Components
#	CJK Strokes
#	？ (fullwidth question mark)
#	〾 (used to indicate that the following Tangut component is only approximate)
#
# Tangut (6,125 characters)
U+17000	𗀀	^⿱𘠀⿰𘢰𘠆$
U+17001	𗀁	^⿱𘠀⿵𘠒𘡯$
U+17002	𗀂	^⿱𘠀⿰𘠨𘢓$
U+17003	𗀃	^⿱𘠀⿰𘣣𘠐$
U+17004	𗀄	^⿱𘠀⿰𘣴𘠢$
U+17005	𗀅	^⿱𘠀⿲𘠐𘠳𘠢$
U+17006	𗀆	^⿱𘠀⿰𘤊𘠢$
U+17007	𗀇	^⿱𘠀𘨐$
U+17008	𗀈	^⿱𘠀⿰𘤣𘠢$
U+17009	𗀉	^⿱𘠀⿰𘤻𘠢$
U+1700A	𗀊	^⿱𘠀⿰𘠨𘤮$
U+1700B	𗀋	^⿱𘠀⿲𘠨𘢰𘠆$
U+1700C	𗀌	^⿱𘠀⿰𘡰𘡰$
U+1700D	𗀍	^⿱𘠀⿲𘠁𘤬𘠢$
U+1700E	𗀎	^⿱𘠀⿰𘡽𘢒$
U+1700F	𗀏	^⿱𘠀⿲𘠒𘡃𘡆$
U+17010	𗀐	^⿱𘠀⿰𘤞𘠺$
U+17011	𗀑	^⿱𘠀⿰𘦛𘠢$
U+17012	𗀒	^⿱𘠀⿰𘦳𘠢$
U+17013	𗀓	^⿱𘡳⿰𘠈𘣴$
U+17014	𗀔	^⿱𘠀⿲𘠨𘢌𘠢$
U+17015	𗀕	^⿱𘠀⿰𘠐𘧮$
U+17016	𗀖	^⿱𘠀⿰𘧶𘠢$
U+17017	𗀗	^⿱𘠀⿰𘤞𘢒$
U+17018	𗀘	^⿱𘠀⿰𘨷𘠢$
